"ds","y"
"2020-03-01",7942
"2020-03-02",7974
"2020-03-03",9237
"2020-03-04",6825
"2020-03-05",10643
"2020-03-06",11357
"2020-03-07",11944
"2020-03-08",7896
"2020-03-09",8993
"2020-03-10",9768
"2020-03-11",6303
"2020-03-12",15689
"2020-03-13",17150
"2020-03-14",17632
"2020-03-15",12973
"2020-03-16",17289
"2020-03-17",17868
"2020-03-18",13822
"2020-03-19",16790
"2020-03-20",14437
"2020-03-21",11494
"2020-03-22",8125
"2020-03-23",6674
"2020-03-24",6525
"2020-03-25",5364
"2020-03-26",6318
"2020-03-27",7430
"2020-03-28",8318
"2020-03-29",5290
"2020-03-30",5965
"2020-03-31",6713
"2020-04-01",5528
"2020-04-02",8023
"2020-04-03",8620
"2020-04-04",8912
"2020-04-05",6468
"2020-04-06",6310
"2020-04-07",8299
"2020-04-08",6183
"2020-04-09",10344
"2020-04-10",7121
"2020-04-11",8281
"2020-04-12",5047
"2020-04-13",5545
"2020-04-14",8024
"2020-04-15",6065
"2020-04-16",9070
"2020-04-17",9078
"2020-04-18",10129
"2020-04-19",7458
"2020-04-20",6234
"2020-04-21",6088
"2020-04-22",5349
"2020-04-23",9189
"2020-04-24",9281
"2020-04-25",10200
"2020-04-26",7324
"2020-04-27",5688
"2020-04-28",7014
"2020-04-29",6647
"2020-04-30",9531
"2020-05-01",9910
"2020-05-02",10803
"2020-05-03",5716
"2020-05-04",6421
"2020-05-05",7324
"2020-05-06",5588
"2020-05-07",8413
"2020-05-08",9800
"2020-05-09",10950
"2020-05-10",5031
"2020-05-11",5374
"2020-05-12",7331
"2020-05-13",5234
"2020-05-14",7488
"2020-05-15",9479
"2020-05-16",9733
"2020-05-17",6649
"2020-05-18",6066
"2020-05-19",7618
"2020-05-20",6227
"2020-05-21",8442
"2020-05-22",7658
"2020-05-23",9034
"2020-05-24",6093
"2020-05-25",6124
"2020-05-26",6866
"2020-05-27",3523
"2020-05-28",8526
"2020-05-29",8274
"2020-05-30",10118
"2020-05-31",5704
