"ds","y","total_clients","num_vendas"
"2020-05-05",2020,461,3922
"2020-04-05",2020,424,3671
"2020-05-02",2020,665,6071
"2020-03-02",2020,682,5885
"2020-03-18",2020,867,8211
"2020-05-18",2020,483,3599
"2020-05-14",2020,522,4357
"2020-03-16",2020,670,5740
"2020-03-17",2020,809,6926
"2020-04-30",2020,601,5381
"2020-03-11",2020,734,5101
"2020-05-27",2020,539,3972
"2020-04-11",2020,612,5824
"2020-03-15",2020,699,5926
"2020-03-13",2020,751,6174
"2020-03-10",2020,728,4895
"2020-04-03",2020,552,5222
"2020-03-19",2020,742,7208
"2020-05-21",2020,522,4676
"2020-05-06",2020,478,4100
"2020-04-22",2020,505,4292
"2020-05-29",2020,582,4784
"2020-04-10",2020,544,4549
"2020-04-21",2020,417,3670
"2020-03-05",2020,779,5786
"2020-04-09",2020,664,6158
"2020-05-28",2020,516,3820
"2020-04-12",2020,412,3479
"2020-04-04",2020,580,5656
"2020-04-26",2020,444,4079
"2020-03-31",2020,465,3759
"2020-05-13",2020,133,1075
"2020-05-12",2020,486,4095
"2020-03-01",2020,740,7830
"2020-04-19",2020,383,3371
"2020-03-28",2020,535,4782
"2020-03-26",2020,510,4508
"2020-04-27",2020,437,3660
"2020-05-09",2020,690,6557
"2020-03-20",2020,682,6693
"2020-03-12",2020,803,6125
"2020-05-23",2020,555,5198
"2020-04-23",2020,543,4640
"2020-03-29",2020,364,2852
"2020-03-22",2020,449,4081
"2020-05-26",2020,506,4099
"2020-04-13",2020,468,3611
"2020-04-18",2020,641,5951
"2020-03-03",2020,697,5919
"2020-05-17",2020,355,3103
"2020-03-07",2020,748,6021
"2020-05-15",2020,564,4528
"2020-04-01",2020,465,4058
"2020-03-23",2020,508,3975
"2020-04-15",2020,470,4060
"2020-03-08",2020,659,5445
"2020-05-11",2020,448,3474
"2020-04-14",2020,462,4018
"2020-05-10",2020,457,3566
"2020-03-30",2020,460,3879
"2020-05-08",2020,554,5012
"2020-05-30",2020,629,5935
"2020-05-20",2020,509,4289
"2020-04-02",2020,509,4536
"2020-04-28",2020,519,4301
"2020-04-16",2020,559,5069
"2020-05-22",2020,603,4883
"2020-03-27",2020,513,4526
"2020-04-24",2020,603,5571
"2020-05-03",2020,437,3887
"2020-04-06",2020,475,3840
"2020-05-24",2020,404,3322
"2020-03-14",2020,792,6782
"2020-03-06",2020,839,6355
"2020-05-19",2020,527,4328
"2020-03-04",2020,712,4631
"2020-04-20",2020,510,4366
"2020-04-25",2020,632,6176
"2020-04-08",2020,486,4602
"2020-05-04",2020,419,3518
"2020-03-21",2020,610,5913
"2020-04-07",2020,489,4084
"2020-05-07",2020,506,4296
"2020-03-25",2020,469,3877
"2020-04-29",2020,518,4310
"2020-04-17",2020,598,4861
"2020-03-24",2020,434,3497
"2020-05-25",2020,361,3093
"2020-05-01",2020,300,2787
"2020-05-31",2020,446,3926
"2020-05-16",2020,632,5656
"2020-03-09",2020,711,4879
