,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
941,2020-04-04 21:00:00,-157.81501236305883,0.0,286.6539967925035,-157.81501236305883,-157.81501236305883,271.279568756629,271.279568756629,271.279568756629,203.92834256773617,203.92834256773617,203.92834256773617,67.35122618889287,67.35122618889287,67.35122618889287,0.0,0.0,0.0,113.46455639357015
942,2020-04-05 08:00:00,-157.25491913869354,0.0,209.9515337158574,-157.25491913869354,-157.25491913869354,212.60057236386263,212.60057236386263,212.60057236386263,223.0282871766325,223.0282871766325,223.0282871766325,-10.427714812769812,-10.427714812769812,-10.427714812769812,0.0,0.0,0.0,55.34565322516909
943,2020-04-05 08:30:00,-157.22946035576786,0.0,264.21315158512255,-157.22946035576786,-157.22946035576786,250.33999606092468,250.33999606092468,250.33999606092468,264.9239964549186,264.9239964549186,264.9239964549186,-14.584000393993918,-14.584000393993918,-14.584000393993918,0.0,0.0,0.0,93.11053570515682
944,2020-04-05 09:00:00,-157.20400157284215,0.0,290.1534783962253,-157.20400157284215,-157.20400157284215,288.21760906251575,288.21760906251575,288.21760906251575,306.94789357943046,306.94789357943046,306.94789357943046,-18.73028451691479,-18.73028451691479,-18.73028451691479,0.0,0.0,0.0,131.0136074896736
945,2020-04-05 09:30:00,-157.17854278991646,2.1434231108930044,339.14918008194263,-157.17854278991646,-157.17854278991646,329.889607369622,329.889607369622,329.889607369622,352.7473401975255,352.7473401975255,352.7473401975255,-22.85773282790341,-22.85773282790341,-22.85773282790341,0.0,0.0,0.0,172.71106457970555
946,2020-04-05 10:00:00,-157.15308400699075,52.71863633040628,394.7806237131735,-157.15308400699075,-157.15308400699075,374.3485029135923,374.3485029135923,374.3485029135923,401.30600441863356,401.30600441863356,401.30600441863356,-26.95750150504137,-26.95750150504137,-26.95750150504137,0.0,0.0,0.0,217.19541890660156
947,2020-04-05 10:30:00,-157.12762522406507,101.17511492769725,424.789441133355,-157.12762522406507,-157.12762522406507,416.9672171882472,416.9672171882472,416.9672171882472,447.9879799219983,447.9879799219983,447.9879799219983,-31.020762733751095,-31.020762733751095,-31.020762733751095,0.0,0.0,0.0,259.83959196418215
948,2020-04-05 11:00:00,-157.1021664411394,139.50791684052808,456.4488150292684,-157.1021664411394,-157.1021664411394,451.5097145319193,451.5097145319193,451.5097145319193,486.5484447725913,486.5484447725913,486.5484447725913,-35.03873024067199,-35.03873024067199,-35.03873024067199,0.0,0.0,0.0,294.4075480907799
949,2020-04-05 11:30:00,-157.07670765821368,146.70275267308315,488.55561296703576,-157.07670765821368,-157.07670765821368,472.46979246438264,472.46979246438264,472.46979246438264,511.4724772553505,511.4724772553505,511.4724772553505,-39.00268479096778,-39.00268479096778,-39.00268479096778,0.0,0.0,0.0,315.393084806169
950,2020-04-05 12:00:00,-157.05124887528797,159.45201991615204,466.59115441327805,-157.05124887528797,-157.05124887528797,477.0472852854502,477.0472852854502,477.0472852854502,519.9512848747374,519.9512848747374,519.9512848747374,-42.903999589287146,-42.903999589287146,-42.903999589287146,0.0,0.0,0.0,319.9960364101622
951,2020-04-05 12:30:00,-157.02579009236229,136.92058748991468,471.62184838972405,-157.02579009236229,-157.02579009236229,466.2083482588547,466.2083482588547,466.2083482588547,512.9425137529391,512.9425137529391,512.9425137529391,-46.73416549408431,-46.73416549408431,-46.73416549408431,0.0,0.0,0.0,309.1825581664924
952,2020-04-05 13:00:00,-157.0003313094366,122.11270296444026,457.6525744609779,-157.0003313094366,-157.0003313094366,444.5599120666598,444.5599120666598,444.5599120666598,495.04472804041677,495.04472804041677,495.04472804041677,-50.48481597375693,-50.48481597375693,-50.48481597375693,0.0,0.0,0.0,287.5595807572232
953,2020-04-05 13:30:00,-156.97487252651092,95.67947688584802,431.33332850606376,-156.97487252651092,-156.97487252651092,419.1157304711939,419.1157304711939,419.1157304711939,473.2634821911114,473.2634821911114,473.2634821911114,-54.14775171991747,-54.14775171991747,-54.14775171991747,0.0,0.0,0.0,262.140857944683
954,2020-04-05 14:00:00,-156.9494137435852,72.59519591701616,412.37584611909847,-156.9494137435852,-156.9494137435852,397.3452040103046,397.3452040103046,397.3452040103046,455.0601688643607,455.0601688643607,455.0601688643607,-57.714964854056085,-57.714964854056085,-57.714964854056085,0.0,0.0,0.0,240.3957902667194
955,2020-04-05 14:30:00,-156.9239549606595,65.77921345777402,399.98749678337,-156.9239549606595,-156.9239549606595,385.0902660110207,385.0902660110207,385.0902660110207,446.2689286494318,446.2689286494318,446.2689286494318,-61.178662638411026,-61.178662638411026,-61.178662638411026,0.0,0.0,0.0,228.16631105036117
956,2020-04-05 15:00:00,-156.89849617773382,54.33900203870471,391.20624948423614,-156.89849617773382,-156.89849617773382,384.95871045284457,384.95871045284457,384.95871045284457,449.490001078893,449.490001078893,449.490001078893,-64.53129062604842,-64.53129062604842,-64.53129062604842,0.0,0.0,0.0,228.06021427511075
957,2020-04-05 15:30:00,-156.8730373948081,85.31964732757118,407.6443370084644,-156.8730373948081,-156.8730373948081,395.6513898968053,395.6513898968053,395.6513898968053,463.4169450743712,463.4169450743712,463.4169450743712,-67.76555517756591,-67.76555517756591,-67.76555517756591,0.0,0.0,0.0,238.7783525019972
958,2020-04-05 16:00:00,-156.84757861188243,87.81862004239704,424.51888185839397,-156.84757861188243,-156.84757861188243,412.4012421199924,412.4012421199924,412.4012421199924,483.2756873902323,483.2756873902323,483.2756873902323,-70.8744452702399,-70.8744452702399,-70.8744452702399,0.0,0.0,0.0,255.55366350810996
959,2020-04-05 16:30:00,-156.82211982895674,108.85340995548458,436.9632343180541,-156.82211982895674,-156.82211982895674,428.3751170126996,428.3751170126996,428.3751170126996,502.22637054503525,502.22637054503525,502.22637054503525,-73.85125353233566,-73.85125353233566,-73.85125353233566,0.0,0.0,0.0,271.55299718374283
960,2020-04-05 17:00:00,-156.79666104603103,115.10851332673377,459.26506592870675,-156.79666104603103,-156.79666104603103,436.6085946730395,436.6085946730395,436.6085946730395,513.2981911156821,513.2981911156821,513.2981911156821,-76.68959644264262,-76.68959644264262,-76.68959644264262,0.0,0.0,0.0,279.81193362700844
961,2020-04-05 17:30:00,-156.77120226310535,112.08390118552403,450.22560398872724,-156.77120226310535,-156.77120226310535,431.88969107810834,431.88969107810834,431.88969107810834,511.2731247012932,511.2731247012932,511.2731247012932,-79.38343362318483,-79.38343362318483,-79.38343362318483,0.0,0.0,0.0,275.118488815003
962,2020-04-05 18:00:00,-156.74574348017964,99.26367727105267,420.0812786133696,-156.74574348017964,-156.74574348017964,412.02398374443834,412.02398374443834,412.02398374443834,493.9510699100518,493.9510699100518,493.9510699100518,-81.92708616561357,-81.92708616561357,-81.92708616561357,0.0,0.0,0.0,255.2782402642587
963,2020-04-05 18:30:00,-156.72028469725396,57.97491599511203,381.89042409489707,-156.72028469725396,-156.72028469725396,378.0973870073955,378.0973870073955,378.0973870073955,462.4126409519999,462.4126409519999,462.4126409519999,-84.31525394460436,-84.31525394460436,-84.31525394460436,0.0,0.0,0.0,221.37710231014157
964,2020-04-05 19:00:00,-156.69482591432828,13.496830835550597,349.3451757368858,-156.69482591432828,-156.69482591432828,333.6522499855477,333.6522499855477,333.6522499855477,420.195281830352,420.195281830352,420.195281830352,-86.54303184480433,-86.54303184480433,-86.54303184480433,0.0,0.0,0.0,176.95742407121944
965,2020-04-05 19:30:00,-156.66936713140257,0.0,295.18964848575575,-156.66936713140257,-156.66936713140257,283.0229021880664,283.0229021880664,283.0229021880664,371.6288270540605,371.6288270540605,371.6288270540605,-88.60592486599408,-88.60592486599408,-88.60592486599408,0.0,0.0,0.0,126.35353505666382
966,2020-04-05 20:00:00,-156.64390834847686,0.0,241.0835002999971,-156.64390834847686,-156.64390834847686,229.34344071671006,229.34344071671006,229.34344071671006,319.84330276589174,319.84330276589174,319.84330276589174,-90.4998620491817,-90.4998620491817,-90.4998620491817,0.0,0.0,0.0,72.6995323682332
967,2020-04-05 20:30:00,-156.61844956555117,0.0,185.23553631901322,-156.61844956555117,-156.61844956555117,172.86496175492823,172.86496175492823,172.86496175492823,265.0861709385997,265.0861709385997,265.0861709385997,-92.2212091836715,-92.2212091836715,-92.2212091836715,0.0,0.0,0.0,16.246512189377057
968,2020-04-06 08:00:00,-156.0328975582602,0.0,141.17629400132427,-156.0328975582602,-156.0328975582602,140.16118413489363,140.16118413489363,140.16118413489363,223.02828716609596,223.02828716609596,223.02828716609596,-82.86710303120235,-82.86710303120235,-82.86710303120235,0.0,0.0,0.0,0.0
969,2020-04-06 08:30:00,-156.0074387753345,0.0,189.01045139855574,-156.0074387753345,-156.0074387753345,184.3425701131233,184.3425701131233,184.3425701131233,264.92399645449467,264.92399645449467,264.92399645449467,-80.58142634137135,-80.58142634137135,-80.58142634137135,0.0,0.0,0.0,28.335131337788795
970,2020-04-06 09:00:00,-155.9819799924088,0.0,245.73215671209496,-155.9819799924088,-155.9819799924088,228.7644045514813,228.7644045514813,228.7644045514813,306.9478935793661,306.9478935793661,306.9478935793661,-78.18348902788475,-78.18348902788475,-78.18348902788475,0.0,0.0,0.0,72.7824245590725
971,2020-04-06 09:30:00,-155.95652120948313,0.0,301.7273983268587,-155.95652120948313,-155.95652120948313,277.0663515454238,277.0663515454238,277.0663515454238,352.7473401897798,352.7473401897798,352.7473401897798,-75.68098864435599,-75.68098864435599,-75.68098864435599,0.0,0.0,0.0,121.10983033594067
972,2020-04-06 10:00:00,-155.93106242655745,13.174378135270882,332.6835317558557,-155.93106242655745,-155.93106242655745,328.2241144456402,328.2241144456402,328.2241144456402,401.3060044198775,401.3060044198775,401.3060044198775,-73.08188997423731,-73.08188997423731,-73.08188997423731,0.0,0.0,0.0,172.29305201908278
