,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2020-03-01 08:00:00,-0.5006373592351788,10.23160054852361,26.74726716820054,-0.5006373592351788,-0.5006373592351788,19.39364670668188,19.39364670668188,19.39364670668188,23.30996206062395,23.30996206062395,23.30996206062395,-3.916315353942072,-3.916315353942072,-3.916315353942072,0.0,0.0,0.0,18.893009347446704
1,2020-03-01 08:30:00,-0.49070117859281615,12.760161147227391,29.231234291399005,-0.49070117859281615,-0.49070117859281615,21.62326465953014,21.62326465953014,21.62326465953014,25.69429296175968,25.69429296175968,25.69429296175968,-4.071028302229545,-4.071028302229545,-4.071028302229545,0.0,0.0,0.0,21.132563480937325
2,2020-03-01 09:00:00,-0.4807649979504535,14.487095798975682,31.355603572390983,-0.4807649979504535,-0.4807649979504535,23.209165650629725,23.209165650629725,23.209165650629725,27.430188569981247,27.430188569981247,27.430188569981247,-4.221022919351528,-4.221022919351528,-4.221022919351528,0.0,0.0,0.0,22.728400652679273
3,2020-03-01 09:30:00,-0.4708288173080909,16.30191297900747,32.751183930472685,-0.4708288173080909,-0.4708288173080909,24.777951707536843,24.777951707536843,24.777951707536843,29.143952114687135,29.143952114687135,29.143952114687135,-4.366000407150295,-4.366000407150295,-4.366000407150295,0.0,0.0,0.0,24.30712289022875
4,2020-03-01 10:00:00,-0.4608926366657282,17.4397123169256,33.95829895646136,-0.4608926366657282,-0.4608926366657282,26.62788620363656,26.62788620363656,26.62788620363656,31.133558658241384,31.133558658241384,31.133558658241384,-4.505672454604819,-4.505672454604819,-4.505672454604819,0.0,0.0,0.0,26.16699356697083
5,2020-03-01 10:30:00,-0.4509564560233656,20.074127015636655,36.29534704358137,-0.4509564560233656,-0.4509564560233656,28.72050275141196,28.72050275141196,28.72050275141196,33.36026476421958,33.36026476421958,33.36026476421958,-4.639762012807625,-4.639762012807625,-4.639762012807625,0.0,0.0,0.0,28.269546295388594
6,2020-03-01 11:00:00,-0.441020275381003,22.06066091399691,38.72072433814825,-0.441020275381003,-0.441020275381003,30.765676366289362,30.765676366289362,30.765676366289362,35.5336804059897,35.5336804059897,35.5336804059897,-4.768004039700342,-4.768004039700342,-4.768004039700342,0.0,0.0,0.0,30.32465609090836
7,2020-03-01 11:30:00,-0.43108409473864034,23.351441551421974,39.775402092777234,-0.43108409473864034,-0.43108409473864034,32.367366946764335,32.367366946764335,32.367366946764335,37.25751315950319,37.25751315950319,37.25751315950319,-4.890146212738857,-4.890146212738857,-4.890146212738857,0.0,0.0,0.0,31.936282852025695
8,2020-03-01 12:00:00,-0.4211479140962777,24.70836820221686,40.54880089165053,-0.4211479140962777,-0.4211479140962777,33.183730717329375,33.183730717329375,33.183730717329375,38.18968032406798,38.18968032406798,38.18968032406798,-5.005949606738589,-5.005949606738589,-5.005949606738589,0.0,0.0,0.0,32.762582803233094
9,2020-03-01 12:30:00,-0.41121173345391504,24.470856505340315,40.85526204423378,-0.41121173345391504,-0.41121173345391504,33.054895153017334,33.054895153017334,33.054895153017334,38.170084489053636,38.170084489053636,38.170084489053636,-5.115189336036302,-5.115189336036302,-5.115189336036302,0.0,0.0,0.0,32.643683419563416
10,2020-03-01 13:00:00,-0.4012755528115524,23.340279643183084,40.11744646985995,-0.4012755528115524,-0.4012755528115524,32.06391442321955,32.06391442321955,32.06391442321955,37.281569580914145,37.281569580914145,37.281569580914145,-5.217655157694598,-5.217655157694598,-5.217655157694598,0.0,0.0,0.0,31.662638870408
11,2020-03-01 13:30:00,-0.3913393721691898,21.950882456532536,38.13827078267368,-0.3913393721691898,-0.3913393721691898,30.517409839364518,30.517409839364518,30.517409839364518,35.83056187444314,35.83056187444314,35.83056187444314,-5.313152035078622,-5.313152035078622,-5.313152035078622,0.0,0.0,0.0,30.12607046719533
12,2020-03-01 14:00:00,-0.38140319152682717,20.24750654546657,36.88442271114563,-0.38140319152682717,-0.38140319152682717,28.856057983408604,28.856057983408604,28.856057983408604,34.257558642940225,34.257558642940225,34.257558642940225,-5.401500659531632,-5.401500659531632,-5.401500659531632,0.0,0.0,0.0,28.474654791881775
13,2020-03-01 14:30:00,-0.3714670108844645,18.950665747025123,35.233311416516734,-0.3714670108844645,-0.3714670108844645,27.524788767468763,27.524788767468763,27.524788767468763,33.00732669636135,33.00732669636135,33.00732669636135,-5.48253792889259,-5.48253792889259,-5.48253792889259,0.0,0.0,0.0,27.153321756584297
14,2020-03-01 15:00:00,-0.3615308302421019,18.225186039760498,34.72579307064394,-0.3615308302421019,-0.3615308302421019,26.84295028653363,26.84295028653363,26.84295028653363,32.39906766764057,32.39906766764057,32.39906766764057,-5.556117381106944,-5.556117381106944,-5.556117381106944,0.0,0.0,0.0,26.481419456291526
15,2020-03-01 15:30:00,-0.3515946495997392,18.01519619941833,34.51248981386283,-0.3515946495997392,-0.3515946495997392,26.913161786449617,26.913161786449617,26.913161786449617,32.535271368651664,32.535271368651664,32.535271368651664,-5.622109582202046,-5.622109582202046,-5.622109582202046,0.0,0.0,0.0,26.561567136849877
16,2020-03-01 16:00:00,-0.3416584689573766,18.900536876142652,35.091529785688245,-0.3416584689573766,-0.3416584689573766,27.59487794906681,27.59487794906681,27.59487794906681,33.27528041594772,33.27528041594772,33.27528041594772,-5.6804024668809125,-5.6804024668809125,-5.6804024668809125,0.0,0.0,0.0,27.253219480109433
17,2020-03-01 16:30:00,-0.33172228831501394,19.559710570782105,36.98056435456423,-0.33172228831501394,-0.33172228831501394,28.54871879066694,28.54871879066694,28.54871879066694,34.27962042170868,34.27962042170868,34.27962042170868,-5.730901631041732,-5.730901631041732,-5.730901631041732,0.0,0.0,0.0,28.216996502351925
18,2020-03-01 17:00:00,-0.3217861076726513,20.633028210108353,37.08481311510277,-0.3217861076726513,-0.3217861076726513,29.336268964036286,29.336268964036286,29.336268964036286,35.10979953952892,35.10979953952892,35.10979953952892,-5.773530575492635,-5.773530575492635,-5.773530575492635,0.0,0.0,0.0,29.014482856363635
19,2020-03-01 17:30:00,-0.3118499270302887,21.14455044046798,36.99545707013587,-0.3118499270302887,-0.3118499270302887,29.54353463600401,29.54353463600401,29.54353463600401,35.35176553574373,35.35176553574373,35.35176553574373,-5.808230899739718,-5.808230899739718,-5.808230899739718,0.0,0.0,0.0,29.231684708973724
20,2020-03-01 18:00:00,-0.301913746387926,19.76487293541377,36.69408356857773,-0.301913746387926,-0.301913746387926,28.88935879220774,28.88935879220774,28.88935879220774,34.72432123786969,34.72432123786969,34.72432123786969,-5.834962445661942,-5.834962445661942,-5.834962445661942,0.0,0.0,0.0,28.587445045819816
21,2020-03-01 18:30:00,-0.2919775657455634,18.784058732694593,35.000064074510746,-0.2919775657455634,-0.2919775657455634,27.284858094521095,27.284858094521095,27.284858094521095,33.13856148496534,33.13856148496534,33.13856148496534,-5.85370339044424,-5.85370339044424,-5.85370339044424,0.0,0.0,0.0,26.992880528775533
22,2020-03-01 19:00:00,-0.28204138510320076,16.18115883137967,33.11039495511414,-0.28204138510320076,-0.28204138510320076,24.825030508386405,24.825030508386405,24.825030508386405,30.689480796972113,30.689480796972113,30.689480796972113,-5.864450288585709,-5.864450288585709,-5.864450288585709,0.0,0.0,0.0,24.542989123283203
23,2020-03-01 19:30:00,-0.2721052044608381,13.125312792694903,30.01171168272694,-0.2721052044608381,-0.2721052044608381,21.7147781648153,21.7147781648153,21.7147781648153,27.581996227611146,27.581996227611146,27.581996227611146,-5.867218062795848,-5.867218062795848,-5.867218062795848,0.0,0.0,0.0,21.44267296035446
24,2020-03-01 20:00:00,-0.2621690238184755,9.164998257611408,26.83895519811204,-0.2621690238184755,-0.2621690238184755,18.15258606635857,18.15258606635857,18.15258606635857,24.01462601028375,24.01462601028375,24.01462601028375,-5.8620399439251845,-5.8620399439251845,-5.8620399439251845,0.0,0.0,0.0,17.890417042540093
25,2020-03-01 20:30:00,-0.2522328431761129,5.084526089222081,21.353944614886718,-0.2522328431761129,-0.2522328431761129,14.209799218154389,14.209799218154389,14.209799218154389,20.058766578150134,20.058766578150134,20.058766578150134,-5.848967359995745,-5.848967359995745,-5.848967359995745,0.0,0.0,0.0,13.957566374978276
26,2020-03-01 21:00:00,-0.2422966625337502,0.8710362721560116,17.584924238005044,-0.2422966625337502,-0.2422966625337502,9.74731597634198,9.74731597634198,9.74731597634198,15.575385751102852,15.575385751102852,15.575385751102852,-5.8280697747608725,-5.8280697747608725,-5.8280697747608725,0.0,0.0,0.0,9.50501931380823
27,2020-03-02 08:00:00,-0.023700688401772176,11.347436629423116,27.945948459974407,-0.023700688401772176,-0.023700688401772176,19.577163470808348,19.577163470808348,19.577163470808348,23.30996206114651,23.30996206114651,23.30996206114651,-3.73279859033816,-3.73279859033816,-3.73279859033816,0.0,0.0,0.0,19.553462782406577
28,2020-03-02 08:30:00,-0.013764507759409524,13.198411196396217,30.894335490878916,-0.013764507759409524,-0.013764507759409524,22.107851699442627,22.107851699442627,22.107851699442627,25.69429296160832,25.69429296160832,25.69429296160832,-3.5864412621656934,-3.5864412621656934,-3.5864412621656934,0.0,0.0,0.0,22.09408719168322
29,2020-03-02 09:00:00,-0.0038283271170469306,15.486015968086104,32.62926132276763,-0.0038283271170469306,-0.0038283271170469306,23.992057270037087,23.992057270037087,23.992057270037087,27.43018856985233,27.43018856985233,27.43018856985233,-3.438131299815248,-3.438131299815248,-3.438131299815248,0.0,0.0,0.0,23.98822894292004
30,2020-03-02 09:30:00,0.0061078535253157205,17.449915161669058,34.511933662092375,0.0061078535253157205,0.0061078535253157205,25.855739818512948,25.855739818512948,25.855739818512948,29.143952115076267,29.143952115076267,29.143952115076267,-3.2882122965633136,-3.2882122965633136,-3.2882122965633136,0.0,0.0,0.0,25.861847672038262
31,2020-03-02 10:00:00,0.01604403416767843,19.67041111993707,36.5872295566178,0.01604403416767843,0.01604403416767843,27.996530396465992,27.996530396465992,27.996530396465992,31.13355865807378,31.13355865807378,31.13355865807378,-3.137028261607788,-3.137028261607788,-3.137028261607788,0.0,0.0,0.0,28.01257443063367
32,2020-03-02 10:30:00,0.025980214810041022,22.417775762068803,38.92768991644995,0.025980214810041022,0.025980214810041022,30.375342076333,30.375342076333,30.375342076333,33.360264764297824,33.360264764297824,33.360264764297824,-2.984922687964827,-2.984922687964827,-2.984922687964827,0.0,0.0,0.0,30.40132229114304
33,2020-03-02 11:00:00,0.03591639545240373,24.44596582335051,40.883945142310566,0.03591639545240373,0.03591639545240373,32.70144278090662,32.70144278090662,32.70144278090662,35.53368040611352,35.53368040611352,35.53368040611352,-2.8322376252068917,-2.8322376252068917,-2.8322376252068917,0.0,0.0,0.0,32.73735917635902
34,2020-03-02 11:30:00,0.045852576094766326,26.20171534331022,42.86950951542501,0.045852576094766326,0.045852576094766326,34.578200399184716,34.578200399184716,34.578200399184716,37.257513159395636,37.257513159395636,37.257513159395636,-2.679312760210924,-2.679312760210924,-2.679312760210924,0.0,0.0,0.0,34.62405297527948
35,2020-03-02 12:00:00,0.055788756737128915,26.778165317078347,44.24070825757318,0.055788756737128915,0.055788756737128915,35.66319581604487,35.66319581604487,35.66319581604487,38.18968032422475,38.18968032422475,38.18968032422475,-2.5264845081798897,-2.5264845081798897,-2.5264845081798897,0.0,0.0,0.0,35.718984572782
36,2020-03-02 12:30:00,0.06572493737949163,27.326247626377018,44.06323002381834,0.06572493737949163,0.06572493737949163,35.79599937234694,35.79599937234694,35.79599937234694,38.170084489191375,38.170084489191375,38.170084489191375,-2.374085116844431,-2.374085116844431,-2.374085116844431,0.0,0.0,0.0,35.86172430972643
37,2020-03-02 13:00:00,0.07566111802185423,26.842846926841716,44.26460214004555,0.07566111802185423,0.07566111802185423,35.059127795363764,35.059127795363764,35.059127795363764,37.28156958158124,37.28156958158124,37.28156958158124,-2.2224417862174777,-2.2224417862174777,-2.2224417862174777,0.0,0.0,0.0,35.13478891338562
38,2020-03-02 13:30:00,0.08559729866421681,25.617106408403544,42.51092006912524,0.08559729866421681,0.08559729866421681,33.758686067598134,33.758686067598134,33.758686067598134,35.83056187450058,35.83056187450058,35.83056187450058,-2.0718758069024545,-2.0718758069024545,-2.0718758069024545,0.0,0.0,0.0,33.84428336626235
39,2020-03-02 14:00:00,0.09553347930657952,24.452208314692683,41.063186078504316,0.09553347930657952,0.09553347930657952,32.334856924169095,32.334856924169095,32.334856924169095,34.25755864295172,34.25755864295172,34.25755864295172,-1.922701718782625,-1.922701718782625,-1.922701718782625,0.0,0.0,0.0,32.43039040347568
40,2020-03-02 14:30:00,0.10546965994894211,23.249809423695694,39.618221368171135,0.10546965994894211,0.10546965994894211,31.23210020338533,31.23210020338533,31.23210020338533,33.007326696442334,33.007326696442334,33.007326696442334,-1.7752264930569999,-1.7752264930569999,-1.7752264930569999,0.0,0.0,0.0,31.33756986333427
41,2020-03-02 15:00:00,0.11540584059130471,22.74939171830694,38.82586489400247,0.11540584059130471,0.11540584059130471,30.769318927868994,30.769318927868994,30.769318927868994,32.39906766780582,32.39906766780582,32.39906766780582,-1.6297487399368216,-1.6297487399368216,-1.6297487399368216,0.0,0.0,0.0,30.8847247684603
42,2020-03-02 15:30:00,0.12534202123366742,22.98717667406571,39.58124965538497,0.12534202123366742,0.12534202123366742,31.048713425211552,31.048713425211552,31.048713425211552,32.53527136899084,32.53527136899084,32.53527136899084,-1.4865579437792913,-1.4865579437792913,-1.4865579437792913,0.0,0.0,0.0,31.17405544644522
43,2020-03-02 16:00:00,0.13527820187603,24.404313777387735,40.97465463564653,0.13527820187603,0.13527820187603,31.929346687854153,31.929346687854153,31.929346687854153,33.275280416403305,33.275280416403305,33.275280416403305,-1.345933728549146,-1.345933728549146,-1.345933728549146,0.0,0.0,0.0,32.06462488973018
44,2020-03-02 16:30:00,0.14521438251839272,25.003918586633578,41.466386409212575,0.14521438251839272,0.14521438251839272,33.07147526709217,33.07147526709217,33.07147526709217,34.27962042220258,34.27962042220258,34.27962042220258,-1.208145155110417,-1.208145155110417,-1.208145155110417,0.0,0.0,0.0,33.21668964961056
